Store Name EN,Store Name AR,Store Category,Detailed Specialisation,Products / Services Offered,Tech Related? نعم / لا,Floor / Unit / Location Inside Mall,Phone Number,WhatsApp,Email,Website,Facebook,Instagram,Google Maps Link,Opening Hours,Current Status: Open / Closed / Unclear / Needs Field Verification,Evidence Summary,Source 1,Source 2,Source 3,Last Evidence Date,Confidence Score من 1 إلى 5,Notes for Website Team,Verification Status,Recommended Website Badge,Show Verified Publicly?,Missing Data,Arabic Website Description,English Website Description,Next Action,Original Directory Presence,Source Date Quality,Row Type
2B,غير مؤكد,Electronics,"Computer, mobile, accessories, and consumer electronics retail; exact Downtown unit requires confirmation.","Computers, laptops, mobiles, accessories, electronics",نعم,El Bostan / Bab El Louk branch mentioned in verification summary; floor/unit not available in current session.,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,"User-provided verification summary says 2B has a strong external match through The Gate 1 and Dalil140 for El Bostan/Bab El Louk branch, with floor/shop/phone in the external sources; final phone confirmation still recommended.",https://www.thegate1.com/en/vendor/2b,Dalil140 listing mentioned in user-provided summary,https://mallelbostan.com/downtown-branch,2026-05-25 (user-provided verification summary; source update date not visible here),4,Do not show as Open/Verified until final phone or field confirmation is completed.,VERIFIED_EXTERNAL,External Match - Pending Final Call,No,final phone confirmation; exact floor/unit; phone/WhatsApp from source file; opening hours; Arabic description approval,2B مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Electronics. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"2B is listed as a Mall El Bostan Downtown store candidate under the Electronics category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Named from user summary
Compuland,غير مؤكد,Computers & Laptops,Computer hardware / retail listing referenced by Yellow Pages summary; exact specialty requires manual confirmation.,"Computer hardware, laptops, accessories, and related services - needs confirmation",نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,User-provided verification summary states Yellow Pages includes Compuland among computer companies/stores inside or around 18 El Bostan St / El Bostan Trading Center.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided summary + Yellow Pages directory context; exact listing date not published),3,Do not show as Open/Verified until final phone or field confirmation is completed.,VERIFIED_EXTERNAL,External Match - Pending Final Call,No,exact Yellow Pages profile URL; phone; WhatsApp; floor/unit; opening hours; latest social proof,Compuland مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Compuland is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Named from user summary
Digital Touch Group,غير مؤكد,Computers & Laptops,Computer hardware / retail listing referenced by Yellow Pages summary; exact specialty requires manual confirmation.,"Computer hardware, laptops, accessories, and related services - needs confirmation",نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,User-provided verification summary states Yellow Pages includes Digital Touch Group among computer companies/stores inside or around 18 El Bostan St / El Bostan Trading Center.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided summary + Yellow Pages directory context; exact listing date not published),3,Do not show as Open/Verified until final phone or field confirmation is completed.,VERIFIED_EXTERNAL,External Match - Pending Final Call,No,exact Yellow Pages profile URL; phone; WhatsApp; floor/unit; opening hours; latest social proof,Digital Touch Group مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Digital Touch Group is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Named from user summary
Discovery,غير مؤكد,Computers & Laptops,Computer hardware / retail listing referenced by Yellow Pages summary; exact specialty requires manual confirmation.,"Computer hardware, laptops, accessories, and related services - needs confirmation",نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,User-provided verification summary states Yellow Pages includes Discovery among computer companies/stores inside or around 18 El Bostan St / El Bostan Trading Center.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided summary + Yellow Pages directory context; exact listing date not published),3,Do not show as Open/Verified until final phone or field confirmation is completed.,VERIFIED_EXTERNAL,External Match - Pending Final Call,No,exact Yellow Pages profile URL; phone; WhatsApp; floor/unit; opening hours; latest social proof,Discovery مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Discovery is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Named from user summary
East Asia,غير مؤكد,Computers & Laptops,Computer hardware / retail listing referenced by Yellow Pages summary; exact specialty requires manual confirmation.,"Computer hardware, laptops, accessories, and related services - needs confirmation",نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,User-provided verification summary states Yellow Pages includes East Asia among computer companies/stores inside or around 18 El Bostan St / El Bostan Trading Center.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided summary + Yellow Pages directory context; exact listing date not published),3,Do not show as Open/Verified until final phone or field confirmation is completed.,VERIFIED_EXTERNAL,External Match - Pending Final Call,No,exact Yellow Pages profile URL; phone; WhatsApp; floor/unit; opening hours; latest social proof,East Asia مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"East Asia is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Named from user summary
B Show,غير مؤكد,Computers & Laptops,Computer Hardware (Yellow Pages category),Computer hardware and related retail/services - needs confirmation,نعم,"18 El Bostan St., Floor 1, Bab El Louk, Cairo, inside El Bostan Trading Center",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,"Yellow Pages profile lists B Show at 18 El Bostan St., Floor 1, Bab El Louk, inside El Bostan Trading Center, under Computer Hardware. No recent review/update date shown.",https://yellowpages.com.eg/en/profile/b-show/165936,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,VERIFIED_EXTERNAL,External Match - Pending Final Call,No,phone number not exposed in parsed source; WhatsApp; opening hours; latest open confirmation,B Show مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"B Show is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Yellow Pages external match
Technology Egypt,غير مؤكد,Other,غير مؤكد - listed by the user summary as a high-priority tech verification target.,غير مؤكد - likely technology/computer-related per verification priority list; must be confirmed.,نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Technology Egypt appears in the user-provided first manual call/WhatsApp priority batch. No external source URL or recent proof was available in this session.,Current Website Directory Snapshot mentioned by user; source file not accessible in this session,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided verification summary; original snapshot not accessible here),1,Do not show as Open/Verified until final phone or field confirmation is completed.,UNREVIEWED_LISTED_ONLY,Needs Verification,No,all external proof; phone; WhatsApp; exact category; detailed specialty; floor/unit; opening hours; latest social proof,Technology Egypt مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Other. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Technology Egypt is listed as a Mall El Bostan Downtown store candidate under the Other category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Manual verification priority
Compu Tec,غير مؤكد,Other,غير مؤكد - listed by the user summary as a high-priority tech verification target.,غير مؤكد - likely technology/computer-related per verification priority list; must be confirmed.,نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Compu Tec appears in the user-provided first manual call/WhatsApp priority batch. No external source URL or recent proof was available in this session.,Current Website Directory Snapshot mentioned by user; source file not accessible in this session,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided verification summary; original snapshot not accessible here),1,Do not show as Open/Verified until final phone or field confirmation is completed.,UNREVIEWED_LISTED_ONLY,Needs Verification,No,all external proof; phone; WhatsApp; exact category; detailed specialty; floor/unit; opening hours; latest social proof,Compu Tec مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Other. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Compu Tec is listed as a Mall El Bostan Downtown store candidate under the Other category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Manual verification priority
Speed Technology Systems,غير مؤكد,Maintenance & Repair,غير مؤكد - listed by the user summary as a high-priority tech verification target.,غير مؤكد - likely technology/computer-related per verification priority list; must be confirmed.,نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Speed Technology Systems appears in the user-provided first manual call/WhatsApp priority batch. No external source URL or recent proof was available in this session.,Current Website Directory Snapshot mentioned by user; source file not accessible in this session,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided verification summary; original snapshot not accessible here),1,Do not show as Open/Verified until final phone or field confirmation is completed.,UNREVIEWED_LISTED_ONLY,Needs Verification,No,all external proof; phone; WhatsApp; exact category; detailed specialty; floor/unit; opening hours; latest social proof,Speed Technology Systems مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Maintenance & Repair. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Speed Technology Systems is listed as a Mall El Bostan Downtown store candidate under the Maintenance & Repair category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Manual verification priority
Techno Tech,غير مؤكد,Other,غير مؤكد - listed by the user summary as a high-priority tech verification target.,غير مؤكد - likely technology/computer-related per verification priority list; must be confirmed.,نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Techno Tech appears in the user-provided first manual call/WhatsApp priority batch. No external source URL or recent proof was available in this session.,Current Website Directory Snapshot mentioned by user; source file not accessible in this session,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided verification summary; original snapshot not accessible here),1,Do not show as Open/Verified until final phone or field confirmation is completed.,UNREVIEWED_LISTED_ONLY,Needs Verification,No,all external proof; phone; WhatsApp; exact category; detailed specialty; floor/unit; opening hours; latest social proof,Techno Tech مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Other. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Techno Tech is listed as a Mall El Bostan Downtown store candidate under the Other category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Manual verification priority
Bit Computer,غير مؤكد,Other,غير مؤكد - listed by the user summary as a high-priority tech verification target.,غير مؤكد - likely technology/computer-related per verification priority list; must be confirmed.,نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Bit Computer appears in the user-provided first manual call/WhatsApp priority batch. No external source URL or recent proof was available in this session.,Current Website Directory Snapshot mentioned by user; source file not accessible in this session,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided verification summary; original snapshot not accessible here),1,Do not show as Open/Verified until final phone or field confirmation is completed.,UNREVIEWED_LISTED_ONLY,Needs Verification,No,all external proof; phone; WhatsApp; exact category; detailed specialty; floor/unit; opening hours; latest social proof,Bit Computer مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Other. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Bit Computer is listed as a Mall El Bostan Downtown store candidate under the Other category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Manual verification priority
Lap Technology Systems,غير مؤكد,Maintenance & Repair,غير مؤكد - listed by the user summary as a high-priority tech verification target.,غير مؤكد - likely technology/computer-related per verification priority list; must be confirmed.,نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Lap Technology Systems appears in the user-provided first manual call/WhatsApp priority batch. No external source URL or recent proof was available in this session.,Current Website Directory Snapshot mentioned by user; source file not accessible in this session,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided verification summary; original snapshot not accessible here),1,Do not show as Open/Verified until final phone or field confirmation is completed.,UNREVIEWED_LISTED_ONLY,Needs Verification,No,all external proof; phone; WhatsApp; exact category; detailed specialty; floor/unit; opening hours; latest social proof,Lap Technology Systems مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Maintenance & Repair. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Lap Technology Systems is listed as a Mall El Bostan Downtown store candidate under the Maintenance & Repair category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Manual verification priority
Ebad El Rahman,غير مؤكد,Other,غير مؤكد - listed by the user summary as a high-priority tech verification target.,غير مؤكد - likely technology/computer-related per verification priority list; must be confirmed.,نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Ebad El Rahman appears in the user-provided first manual call/WhatsApp priority batch. No external source URL or recent proof was available in this session.,Current Website Directory Snapshot mentioned by user; source file not accessible in this session,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided verification summary; original snapshot not accessible here),1,Do not show as Open/Verified until final phone or field confirmation is completed.,UNREVIEWED_LISTED_ONLY,Needs Verification,No,all external proof; phone; WhatsApp; exact category; detailed specialty; floor/unit; opening hours; latest social proof,Ebad El Rahman مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Other. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Ebad El Rahman is listed as a Mall El Bostan Downtown store candidate under the Other category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Manual verification priority
The First,غير مؤكد,Other,غير مؤكد - listed by the user summary as a high-priority tech verification target.,غير مؤكد - likely technology/computer-related per verification priority list; must be confirmed.,نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,The First appears in the user-provided first manual call/WhatsApp priority batch. No external source URL or recent proof was available in this session.,Current Website Directory Snapshot mentioned by user; source file not accessible in this session,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided verification summary; original snapshot not accessible here),1,Do not show as Open/Verified until final phone or field confirmation is completed.,UNREVIEWED_LISTED_ONLY,Needs Verification,No,all external proof; phone; WhatsApp; exact category; detailed specialty; floor/unit; opening hours; latest social proof,The First مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Other. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"The First is listed as a Mall El Bostan Downtown store candidate under the Other category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Manual verification priority
Saudi,غير مؤكد,Other,غير مؤكد - listed by the user summary as a high-priority tech verification target.,غير مؤكد - likely technology/computer-related per verification priority list; must be confirmed.,نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Saudi appears in the user-provided first manual call/WhatsApp priority batch. No external source URL or recent proof was available in this session.,Current Website Directory Snapshot mentioned by user; source file not accessible in this session,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided verification summary; original snapshot not accessible here),1,Do not show as Open/Verified until final phone or field confirmation is completed.,UNREVIEWED_LISTED_ONLY,Needs Verification,No,all external proof; phone; WhatsApp; exact category; detailed specialty; floor/unit; opening hours; latest social proof,Saudi مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Other. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Saudi is listed as a Mall El Bostan Downtown store candidate under the Other category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Manual verification priority
Mahmoud Khalwi,غير مؤكد,Other,غير مؤكد - listed by the user summary as a high-priority tech verification target.,غير مؤكد - likely technology/computer-related per verification priority list; must be confirmed.,نعم,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Mahmoud Khalwi appears in the user-provided first manual call/WhatsApp priority batch. No external source URL or recent proof was available in this session.,Current Website Directory Snapshot mentioned by user; source file not accessible in this session,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided verification summary; original snapshot not accessible here),1,Do not show as Open/Verified until final phone or field confirmation is completed.,UNREVIEWED_LISTED_ONLY,Needs Verification,No,all external proof; phone; WhatsApp; exact category; detailed specialty; floor/unit; opening hours; latest social proof,Mahmoud Khalwi مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Other. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Mahmoud Khalwi is listed as a Mall El Bostan Downtown store candidate under the Other category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.","Call/WhatsApp to confirm current opening, phone, floor/unit, Arabic name, and public listing permission.",Current Website Directory Snapshot,No explicit recent listing date,Manual verification priority
El Yamama Store,غير مؤكد,Computers & Laptops,External candidate not present in the current 61-store website snapshot; exact mall status must be confirmed before import.,غير مؤكد - external source suggests relevance to computers/electronics/gaming; services need confirmation.,نعم,Al Bustan / El Bostan Mall context mentioned by external summary; exact Downtown unit not confirmed in this session.,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,The Gate 1 vendor page referenced in user summary as inside Al Bustan Mall. Do not merge automatically into the public directory until phone/field verification confirms current presence.,https://thegate1.com/en/vendor/el-yamama-store,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided external verification summary; source update date not confirmed),3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_VERIFIED_NOT_ON_SITE_LIST,External Candidate,No,confirm whether currently inside Downtown branch; phone; WhatsApp; floor/unit; opening hours; category; Arabic display name,El Yamama Store مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"El Yamama Store is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Add to external review queue; call store/source owner; only merge after positive field or phone confirmation.,Not present in current website directory snapshot per user summary,No explicit recent listing date,External not on site
Sigma Computer,غير مؤكد,Computers & Laptops,External candidate not present in the current 61-store website snapshot; exact mall status must be confirmed before import.,غير مؤكد - external source suggests relevance to computers/electronics/gaming; services need confirmation.,نعم,Al Bustan / El Bostan Mall context mentioned by external summary; exact Downtown unit not confirmed in this session.,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Official Sigma stores page referenced in user summary as listing Downtown - Bab El Louk. Do not merge automatically into the public directory until phone/field verification confirms current presence.,https://sigma-computer.com/en/pages/stores,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided external verification summary; source update date not confirmed),3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_VERIFIED_NOT_ON_SITE_LIST,External Candidate,No,confirm whether currently inside Downtown branch; phone; WhatsApp; floor/unit; opening hours; category; Arabic display name,Sigma Computer مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Sigma Computer is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Add to external review queue; call store/source owner; only merge after positive field or phone confirmation.,Not present in current website directory snapshot per user summary,No explicit recent listing date,External not on site
