Store Name EN,Store Name AR,Store Category,Detailed Specialisation,Products / Services Offered,Tech Related? نعم / لا,Floor / Unit / Location Inside Mall,Phone Number,WhatsApp,Email,Website,Facebook,Instagram,Google Maps Link,Opening Hours,Current Status: Open / Closed / Unclear / Needs Field Verification,Evidence Summary,Source 1,Source 2,Source 3,Last Evidence Date,Confidence Score من 1 إلى 5,Notes for Website Team,Verification Status,Recommended Website Badge,Show Verified Publicly?,Missing Data,Arabic Website Description,English Website Description,Next Action,Original Directory Presence,Source Date Quality,Row Type
ElmasryaTech,غير مؤكد,Computers & Laptops,External candidate not present in the current 61-store website snapshot; exact mall status must be confirmed before import.,غير مؤكد - external source suggests relevance to computers/electronics/gaming; services need confirmation.,نعم,Al Bustan / El Bostan Mall context mentioned by external summary; exact Downtown unit not confirmed in this session.,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,User summary lists it as a strong external candidate not on the current site list. Do not merge automatically into the public directory until phone/field verification confirms current presence.,غير مؤكد,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided external verification summary; source update date not confirmed),2,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_VERIFIED_NOT_ON_SITE_LIST,External Candidate,No,confirm whether currently inside Downtown branch; phone; WhatsApp; floor/unit; opening hours; category; Arabic display name,ElmasryaTech مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"ElmasryaTech is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Add to external review queue; call store/source owner; only merge after positive field or phone confirmation.,Not present in current website directory snapshot per user summary,No explicit recent listing date,External not on site
Hankerz,غير مؤكد,Gaming,External candidate not present in the current 61-store website snapshot; exact mall status must be confirmed before import.,غير مؤكد - external source suggests relevance to computers/electronics/gaming; services need confirmation.,نعم,Al Bustan / El Bostan Mall context mentioned by external summary; exact Downtown unit not confirmed in this session.,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,User summary lists it as a strong external candidate not on the current site list. Do not merge automatically into the public directory until phone/field verification confirms current presence.,غير مؤكد,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided external verification summary; source update date not confirmed),2,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_VERIFIED_NOT_ON_SITE_LIST,External Candidate,No,confirm whether currently inside Downtown branch; phone; WhatsApp; floor/unit; opening hours; category; Arabic display name,Hankerz مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Gaming. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Hankerz is listed as a Mall El Bostan Downtown store candidate under the Gaming category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Add to external review queue; call store/source owner; only merge after positive field or phone confirmation.,Not present in current website directory snapshot per user summary,No explicit recent listing date,External not on site
New Vision Stores,غير مؤكد,Electronics,External candidate not present in the current 61-store website snapshot; exact mall status must be confirmed before import.,غير مؤكد - external source suggests relevance to computers/electronics/gaming; services need confirmation.,نعم,Al Bustan / El Bostan Mall context mentioned by external summary; exact Downtown unit not confirmed in this session.,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,User summary lists it as a strong external candidate not on the current site list. Do not merge automatically into the public directory until phone/field verification confirms current presence.,غير مؤكد,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided external verification summary; source update date not confirmed),2,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_VERIFIED_NOT_ON_SITE_LIST,External Candidate,No,confirm whether currently inside Downtown branch; phone; WhatsApp; floor/unit; opening hours; category; Arabic display name,New Vision Stores مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Electronics. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"New Vision Stores is listed as a Mall El Bostan Downtown store candidate under the Electronics category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Add to external review queue; call store/source owner; only merge after positive field or phone confirmation.,Not present in current website directory snapshot per user summary,No explicit recent listing date,External not on site
Kasr Zero,غير مؤكد,Computers & Laptops,External candidate not present in the current 61-store website snapshot; exact mall status must be confirmed before import.,غير مؤكد - external source suggests relevance to computers/electronics/gaming; services need confirmation.,نعم,Al Bustan / El Bostan Mall context mentioned by external summary; exact Downtown unit not confirmed in this session.,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,The Gate 1 source referenced in user summary as inside Al Bustan Mall. Do not merge automatically into the public directory until phone/field verification confirms current presence.,https://thegate1.com/en/vendor/kasr-zero,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided external verification summary; source update date not confirmed),3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_VERIFIED_NOT_ON_SITE_LIST,External Candidate,No,confirm whether currently inside Downtown branch; phone; WhatsApp; floor/unit; opening hours; category; Arabic display name,Kasr Zero مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Kasr Zero is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Add to external review queue; call store/source owner; only merge after positive field or phone confirmation.,Not present in current website directory snapshot per user summary,No explicit recent listing date,External not on site
Sharaf Group,غير مؤكد,Electronics,External candidate not present in the current 61-store website snapshot; exact mall status must be confirmed before import.,غير مؤكد - external source suggests relevance to computers/electronics/gaming; services need confirmation.,نعم,Al Bustan / El Bostan Mall context mentioned by external summary; exact Downtown unit not confirmed in this session.,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,User summary lists it as a strong external candidate not on the current site list. Do not merge automatically into the public directory until phone/field verification confirms current presence.,غير مؤكد,https://mallelbostan.com/downtown-branch,,2026-05-25 (user-provided external verification summary; source update date not confirmed),2,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_VERIFIED_NOT_ON_SITE_LIST,External Candidate,No,confirm whether currently inside Downtown branch; phone; WhatsApp; floor/unit; opening hours; category; Arabic display name,Sharaf Group مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Electronics. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Sharaf Group is listed as a Mall El Bostan Downtown store candidate under the Electronics category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Add to external review queue; call store/source owner; only merge after positive field or phone confirmation.,Not present in current website directory snapshot per user summary,No explicit recent listing date,External not on site
Amr El Amin For Computer Maintenance,غير مؤكد,Maintenance & Repair,Computer Hardware / maintenance,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, Ground Floor",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Amr El Amin For Computer Maintenance at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/profile/amr-el-amin-for-computer-maintenance/556134,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Amr El Amin For Computer Maintenance مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Maintenance & Repair. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Amr El Amin For Computer Maintenance is listed as a Mall El Bostan Downtown store candidate under the Maintenance & Repair category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
Arab Engineers,غير مؤكد,Computers & Laptops,Computer Hardware,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, 1st Floor",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Arab Engineers at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Arab Engineers مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Arab Engineers is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
Auto Run,غير مؤكد,Computers & Laptops,Computer Hardware,Computer hardware and related services - exact products/services must be confirmed.,نعم,"El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Auto Run at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Auto Run مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Auto Run is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
B & B Computer,غير مؤكد,Computers & Laptops,Computer Hardware,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, 1st Floor",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists B & B Computer at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,B & B Computer مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"B & B Computer is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
Backup,غير مؤكد,Computers & Laptops,Computer Hardware,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, 3rd Floor",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Backup at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Backup مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Backup is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
Bayaa,غير مؤكد,Computers & Laptops,Computer Hardware,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, 2nd Floor",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Bayaa at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Bayaa مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Bayaa is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
BIT,غير مؤكد,Computers & Laptops,Computer Hardware,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, 4th Floor / also another no-floor listing appears on Yellow Pages",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists BIT at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,BIT مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"BIT is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
Bit Stop For Advanced Solutions - Lap Tech,غير مؤكد,Maintenance & Repair,Computer Hardware / laptop-related solutions,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, Ground Floor",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Bit Stop For Advanced Solutions - Lap Tech at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/profile/bit-stop-for-advanced-solutions-_-lap-tech/617398,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Bit Stop For Advanced Solutions - Lap Tech مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Maintenance & Repair. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Bit Stop For Advanced Solutions - Lap Tech is listed as a Mall El Bostan Downtown store candidate under the Maintenance & Repair category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
Boody Laptop,غير مؤكد,Computers & Laptops,Computer Hardware / laptop retail or service,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, 4th Floor",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Boody Laptop at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Boody Laptop مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Boody Laptop is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
Boundoq For Computer,غير مؤكد,Computers & Laptops,Computer Hardware,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, Ground Floor",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Boundoq For Computer at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Boundoq For Computer مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Boundoq For Computer is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
Brand New,غير مؤكد,Computers & Laptops,Computer Hardware,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, 1st Floor",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Brand New at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Brand New مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Brand New is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
Cairo Computer Systems,غير مؤكد,Computers & Laptops,Computer Hardware,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, 2nd Floor",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Cairo Computer Systems at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Cairo Computer Systems مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Cairo Computer Systems is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
Cairo For Computers,غير مؤكد,Computers & Laptops,Computer Hardware,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, 2nd Floor",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Cairo For Computers at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Cairo For Computers مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Cairo For Computers is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
Centrino Technology,غير مؤكد,Computers & Laptops,Computer Hardware,Computer hardware and related services - exact products/services must be confirmed.,نعم,"18 El Bostan St., Bab El Louk, Cairo, inside El Bostan Trading Center, 4th Floor, Shop 2",غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,غير مؤكد,Needs Field Verification,Yellow Pages p2 lists Centrino Technology at 18 El Bostan St. / El Bostan Trading Center under Computer Hardware. Parsed page does not show a recent listing update date.,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://yellowpages.com.eg/en/map-category/bab-el-louk-computer-hardware/342/p2,https://mallelbostan.com/downtown-branch,2026-05-25 accessed; no listing update date published,3,Do not show as Open/Verified until final phone or field confirmation is completed.,EXTERNAL_DIRECTORY_CANDIDATE,External Candidate,No,current presence confirmation; phone; WhatsApp; opening hours; social profile; Arabic name; whether already on the 61-store snapshot,Centrino Technology مدرج كأحد محلات مول البستان / وسط البلد ضمن تصنيف Computers & Laptops. يُنصح فريق الموقع بتأكيد بيانات التواصل والدور وحالة التشغيل قبل تفعيل شارة Verified على صفحة المحل.,"Centrino Technology is listed as a Mall El Bostan Downtown store candidate under the Computers & Laptops category. The website team should confirm contact details, floor/unit, and current operating status before showing a public Verified badge.",Check against current CMS directory; call or visit before adding/publicly marking as open.,External source only / not confirmed against current site snapshot in this session,No explicit recent listing date,Yellow Pages directory candidate
